road,place,latitude,longitude,clusterid
Montague Street,Edinburgh,55.9418974,-3.1805411,1000
Rankeillor Street,Edinburgh,55.9426064,-3.1809535,1001
Forth Street,Edinburgh,55.9577291,-3.1877038,1002
Broughton Place,Edinburgh,55.9584746,-3.1893143,1003
Drummond Place,Edinburgh,55.9587876,-3.1938665,1004
London Street,Edinburgh,55.9590983,-3.1918268,1005
Spittal Street,Edinburgh,55.946592,-3.2027944,1006
Lady Lawson Street,Edinburgh,55.9467338,-3.2021672,1007
Johnston Terrace,Edinburgh,55.9485558,-3.1953917,1008
Jeffrey Street,Edinburgh,55.9513183,-3.1863908,1009
Charlotte Square,Edinburgh,55.9519521,-3.2087311,1010
Young Street,Edinburgh,55.9527772,-3.2061375,1011
Glenfinlas Street,Edinburgh,55.952814,-3.2093938,1012
Ainslie Place,Edinburgh,55.9532168,-3.2097455,1013
Belgrave Crescent,Edinburgh,55.9536348,-3.2155603,1014
N Castle Street,Edinburgh,55.9536968,-3.2042485,1015
Eton Terrace,Edinburgh,55.9539495,-3.2143784,1016
Moray Place,Edinburgh,55.9541909,-3.2076171,1017
Learmonth Terrace,Edinburgh,55.9553224,-3.2197893,1018
Moray Place,Edinburgh,55.9554048,-3.2089636,1019
Learmonth Terrace,Edinburgh,55.9554529,-3.2172505,1020
Heriot Row,Edinburgh,55.9554635,-3.2009144,1021
Dean Terrace,Edinburgh,55.9572186,-3.2098642,1022
Northumberland Street,Edinburgh,55.957356,-3.1964325,1023
St Stephen Street,Edinburgh,55.9585292,-3.2054313,1024
Fettes Row,Edinburgh,55.9595426,-3.1989701,1025
Henderson Row,Edinburgh,55.9599745,-3.2054658,1026
Saxe Coburg Place,Edinburgh,55.9608299,-3.209386,1027
Eyre Crescent,Edinburgh,55.9613262,-3.1989393,1028
Eyre Crescent,Edinburgh,55.9615297,-3.1997334,1029
Glenogle Rd,Edinburgh,55.9617168,-3.2024629,1030
S College Street,Edinburgh,55.9471295,-3.1865809,1031
Victoria Street,Edinburgh,55.9485939,-3.1925701,1032
Gayfield Square,Edinburgh,55.9592726,-3.185367,1033
E London Street,Edinburgh,55.9596851,-3.1884394,1034
Cochran Terrace,Edinburgh,55.9599963,-3.1897963,1035
Blackfriars Street,Edinburgh,55.9494885,-3.1858931,1036
St John Street,Edinburgh,55.9502517,-3.1806273,1037
High Street,Edinburgh,55.9504359,-3.1858709,1038
Canongate,Edinburgh,55.9512656,-3.1805117,1039
Calton Road,Edinburgh,55.9528929,-3.176743,1040
Ninian's Row,Edinburgh,55.9539604,-3.1873802,1041
Chambers Street,Edinburgh,55.9475997,-3.1892762,1042
Chambers Street,Edinburgh,55.947738,-3.1882821,1043
Blackwood Crescent,Edinburgh,55.9387289,-3.1805689,1044
W Newington Place,Edinburgh,55.9380774,-3.1791124,1045
Grassmarket,Edinburgh,55.9472569,-3.1966322,1046
Warrender Park Terrace,Edinburgh,55.9391061,-3.1996071,1047
Warrender Park Terrace,Edinburgh,55.9394802,-3.1965333,1048
Marchmont Road,Edinburgh,55.9386434,-3.1948476,1049
Warrender Park Road,Edinburgh,55.9380756,-3.1989379,1050
Warrender Park Road,Edinburgh,55.9377023,-3.2005298,1051
Leamington Terrace,Edinburgh,55.9393623,-3.2083605,1052
Upper Gilmore Place,Edinburgh,55.9410334,-3.2082184,1053
Lochrin Place,Edinburgh,55.9424485,-3.2052545,1054
Tarvit Street,Edinburgh,55.9422746,-3.201716,1055
Lauriston Gardens,Edinburgh,55.9429734,-3.1989822,1056
Panmure Place,Edinburgh,55.9429779,-3.2007095,1057
Drumdryan Street,Edinburgh,55.9428615,-3.2025991,1058
Glen Street,Edinburgh,55.943931,-3.2016993,1059
Lauriston Park,Edinburgh,55.9440632,-3.2011682,1060
Chalmers Street,Edinburgh,55.9434316,-3.1971811,1061
Chalmers Street,Edinburgh,55.9443591,-3.1975016,1062
Keir Street,Edinburgh,55.9458723,-3.1966071,1063
Merchant Street,Edinburgh,55.9476514,-3.1919132,1064
St Giles' Street,Edinburgh,55.9501295,-3.1921077,1065
Blacket Place,Edinburgh,55.937602,-3.1726509,1066
S Oxford Street,Edinburgh,55.9390483,-3.1766521,1067
Parkside Terrace,Edinburgh,55.9404701,-3.1753063,1068
Lutton Place,Edinburgh,55.940745,-3.1773287,1069
Bernard Terrace,Edinburgh,55.9414495,-3.1787677,1070
Parkside Street,Edinburgh,55.9418596,-3.1781723,1071
Simon Square,Edinburgh,55.9449261,-3.1828058,1072
W Richmond Street,Edinburgh,55.9453624,-3.1838344,1073
Blair Street,Edinburgh,55.9495723,-3.1877585,1074
Market Street,Edinburgh,55.9510065,-3.1907438,1075
Calton Hill,Edinburgh,55.9542997,-3.1859627,1076
Regent Road,Edinburgh,55.9539499,-3.1841341,1077
Regent Road,Edinburgh,55.9545363,-3.1762786,1078
Regent Road,Edinburgh,55.9553242,-3.1742743,1079
Grassmarket,Edinburgh,55.9476942,-3.1949133,1080
Grassmarket,Edinburgh,55.9469898,-3.1974654,1081
Buccleuch Place,Edinburgh,55.9425821,-3.1882842,1082
George Square,Edinburgh,55.9438319,-3.1903736,1083
George Square,Edinburgh,55.9440271,-3.1901631,1084
George Square,Edinburgh,55.9443546,-3.1880374,1085
George Square,Edinburgh,55.9442742,-3.1876928,1086
Roxburgh Place,Edinburgh,55.9472654,-3.1841724,1087
Hill Square,Edinburgh,55.9466098,-3.1842253,1088
Chambers Street,Edinburgh,55.9478864,-3.1874165,1089
Roxburgh Street,Edinburgh,55.9477956,-3.1835729,1090
Drummond Street,Edinburgh,55.9475365,-3.1849583,1091
Nicolson Square,Edinburgh,55.9460578,-3.1862524,1092
St Catherine's Place,Edinburgh,55.9366371,-3.1847437,1093
Livingstone Place,Edinburgh,55.9389859,-3.186809,1094
Rillbank Crescent,Edinburgh,55.93936,-3.1898949,1095
Melville Terrace,Edinburgh,55.9395741,-3.1854035,1096
Sciennes,Edinburgh,55.939357,-3.1826971,1097
Summerhall Square,Edinburgh,55.9396206,-3.1814942,1098
Mayfield Terrace,Edinburgh,55.9347141,-3.1735978,1099
W Register Street,Edinburgh,55.9539003,-3.1905098,1100
St Andrew Square,Edinburgh,55.9546429,-3.193768,1101
Queen Street,Edinburgh,55.9552217,-3.1959459,1102
Northumberland Street,Edinburgh,55.9565026,-3.2014002,1103
Randolph Place,Edinburgh,55.9514199,-3.2098538,1104
Melville Street,Edinburgh,55.9508713,-3.2115215,1105
Melville Crescent,Edinburgh,55.9496571,-3.2135157,1106
Melville Street,Edinburgh,55.9496008,-3.2143217,1107
Atholl Crescent,Edinburgh,55.9481733,-3.2116918,1108
